"Suburb","AddressLine","Classification","NumberOfBedrooms","Price","OutcomeDate","Outcome","Agent","WebUrl"
"Keilor East","15 Ronald Gr","house",3,850000.0,"2018-08-04","passed in vendor bid","Nelson Alexander","https://www.realestateview.com.au/real-estate/15-ronald-grove-keilor-east-vic/property-details-buy-residential-11982079/"
"Keilor East","47 Hassett Cr","house",6,1160000.0,"2018-07-18","sold before auction","Nelson Alexander","https://www.realestateview.com.au/real-estate/47-hassett-crescent-keilor-east-vic/property-details-sold-residential-11775561/"
"Keilor East","21 Warren Ct","house",4,,"2018-08-04","passed in vendor bid","Barry Plant","https://www.realestateview.com.au/real-estate/21-warren-court-keilor-east-vic/property-details-buy-residential-11964435/"
"Kensington","4/18 Bent St","apartment",2,650000.0,"2018-08-04","auction sale","Nelson Alexander","https://www.realestateview.com.au/real-estate/4-18-bent-street-kensington-vic/property-details-sold-residential-11980370/"
"Kensington","51 Derby St","house",2,770000.0,"2018-08-04","auction sale","Nelson Alexander","https://www.realestateview.com.au/real-estate/51-derby-street-kensington-vic/property-details-sold-residential-11980447/"
"Kensington","1/60 Henry St","apartment",2,520000.0,"2018-08-04","auction sale","Rendina",""
"Kensington","52 Ormond St","house",4,1501000.0,"2018-08-04","auction sale","Jellis Craig","https://www.realestateview.com.au/real-estate/52-ormond-street-kensington-vic/property-details-sold-residential-11974629/"
"Kensington","17 Serong St","house",3,967000.0,"2018-08-01","sold before auction","Rendina",""
"Kew","2/29 Asquith St","townhouse",3,1050000.0,"2018-08-04","passed in vendor bid","Marshall White & Co","https://www.realestateview.com.au/real-estate/2-29-asquith-street-kew-vic/property-details-buy-residential-11972981/"
"Kew","15/7 College Pde","apartment",2,775000.0,"2018-08-04","auction sale","Nelson Alexander","https://www.realestateview.com.au/real-estate/15-7-college-parade-kew-vic/property-details-sold-residential-11977631/"
"Kew","25/380 High St","apartment",3,820000.0,"2018-08-04","auction sale","hockingstuart","https://www.realestateview.com.au/real-estate/25-380-high-street-kew-vic/property-details-buy-residential-11980047/"
"Kew","4/33 Parkhill Rd","townhouse",3,940000.0,"2018-08-04","passed in vendor bid","Nelson Alexander","https://www.realestateview.com.au/real-estate/4-33-parkhill-road-kew-vic/property-details-buy-residential-11977454/"
"Kew","8 Rossfield Av","house",5,3680000.0,"2018-08-04","auction sale","Marshall White & Co","https://www.realestateview.com.au/real-estate/8-rossfield-avenue-kew-vic/property-details-sold-residential-11970740/"
"Kew","6B/32 Wimba Av","unit",3,1000000.0,"2018-08-04","passed in at auction","Jellis Craig","https://www.realestateview.com.au/real-estate/6b-32-wimba-avenue-kew-vic/property-details-buy-residential-11973335/"
"Kew","15 Princess St","house",6,,"2018-08-04","passed in vendor bid","Jellis Craig","https://www.realestateview.com.au/real-estate/15-princess-street-kew-vic/property-details-buy-residential-11974986/"
"Kew East","4/77 Harp Rd","unit",2,726000.0,"2018-08-04","auction sale","Jellis Craig","https://www.realestateview.com.au/real-estate/4-77-harp-road-kew-east-vic/property-details-sold-residential-11973581/"
"Kew East","4/12 Station St","unit",2,725000.0,"2018-08-04","auction sale","Lindellas First National","https://www.realestateview.com.au/real-estate/4-12-station-street-kew-east-vic/property-details-buy-residential-11967872/"
"Kew East","1 Boorool Rd","house",3,,"2018-07-24","private sale","Noel Jones","https://www.realestateview.com.au/real-estate/1-boorool-road-kew-east-vic/property-details-sold-residential-11892585/"
"Keysborough","4 Mapleton Ct","house",4,1100000.0,"2018-08-04","auction sale","OBrien Real Estate Keysborough","https://www.realestateview.com.au/real-estate/4-mapleton-court-keysborough-vic/property-details-buy-residential-11980859/"
"Keysborough","1 Nyala Ct","house",4,865000.0,"2018-08-04","auction sale","Biggin & Scott","https://www.realestateview.com.au/real-estate/1-nyala-court-keysborough-vic/property-details-buy-residential-11972500/"
"Keysborough","21 Triton Dr","house",4,,"2018-08-04","passed in vendor bid","Leyton Real Estate","https://www.realestateview.com.au/real-estate/21-triton-drive-keysborough-vic/property-details-buy-residential-11958365/"
"Kilsyth","28 Hawthory Rd","house",3,615000.0,"2018-07-21","private sale","Ray White Croydon","https://www.realestateview.com.au/real-estate/2-28-hawthory-road-kilsyth-vic/property-details-buy-residential-11935910/"
"Kinglake West","13 Kestrel La","house",4,930000.0,"2018-07-02","private sale","Integrity Real Estate",""
"Kingsville","2/18 Kingsville St","apartment",2,,"2018-08-04","passed in at auction","hockingstuart",""
"Knoxfield","40 Coromandel Cr","house",3,745000.0,"2018-08-04","passed in vendor bid","Biggin & Scott Knox",""
"Knoxfield","28 David St","house",3,,"2018-08-04","passed in at auction","Ray White Bayswater",""
"Kooyong","2.01/398 Glenferrie Rd","apartment",2,1700000.0,"2018-08-04","passed in vendor bid","Marshall White & Co","https://www.realestateview.com.au/real-estate/2-01-398-glenferrie-road-kooyong-vic/property-details-buy-residential-11962679/"
"Kyneton","12 Banksia Cr","house",4,585000.0,"2018-07-30","private sale","RT Edgar",""
"Kyneton","Lot 79 Wells Ct","land",0,240000.0,"2018-07-30","private sale","RT Edgar",""
"Kyneton","8 Sturt St","house",3,612000.0,"2018-07-17","private sale","RT Edgar",""
"Kyneton","Lot 80 Wells Ct","land",0,220000.0,"2018-07-13","private sale","RT Edgar",""
"Lake Gardens","62 Lake Gardens Av","house",4,605000.0,"2018-07-23","private sale","Biggin & Scott","https://www.realestateview.com.au/real-estate/62-lake-gardens-avenue-lake-gardens-vic/property-details-sold-residential-11968097/"
"Lalor","26 Canberra Gr","house",4,530000.0,"2018-08-04","passed in at auction","Stockdale & Leggo Epping",""
"Lalor","4/6 Cherry Ct","unit",2,376000.0,"2018-08-04","auction sale","Ray White Thomastown",""
"Lalor","5/6 Cherry Ct","unit",2,401000.0,"2018-08-04","auction sale","Ray White Thomastown","https://www.realestateview.com.au/real-estate/5-6-cherry-court-lalor-vic/property-details-buy-residential-11969948/"
"Lalor","39 Derrick St","house",3,710000.0,"2018-08-04","auction sale","Ray White Manningham","https://www.realestateview.com.au/real-estate/39-derrick-street-lalor-vic/property-details-buy-residential-11979119/"
"Lalor","155 Kingsway Dr","house",3,620000.0,"2018-08-04","auction sale","Harcourts Rata & Co",""
"Lalor","20 Monaghan Way","house",4,930000.0,"2018-08-04","passed in at auction","Iconek EA",""
"Lalor","1/120 Mount View Rd","unit",3,505000.0,"2018-07-27","sold before auction","Harcourts Rata & Co",""
"Lalor","31 Bruce St","house",4,,"2018-08-04","passed in at auction","SKAD Real Estate",""
"Lara","90 Watt St","land",0,,"2018-08-04","passed in at auction","Hodges",""
"Launching Place","7 Jacka St","house",3,515000.0,"2018-07-18","private sale","Andrew McMath Real Estate",""
