"Suburb","AddressLine","Classification","NumberOfBedrooms","Price","OutcomeDate","Outcome","Agent","WebUrl"
"Mount Helen","5 Ploughshare Dr","house",0,343000.0,"2016-10-20","private sale","Harcourts Ballarat","http://www.realestateview.com.au/real-estate/5-ploughshare-drive-mount-helen-vic/property-details-buy-residential-10506164/"
"Mount Martha","3/16 Cromdale St","house",3,605000.0,"2016-11-17","private sale","Abode Mt Martha",""
"Mount Martha","398 Esplanade","house",5,1985000.0,"2016-11-14","private sale","Abode Mt Martha","http://www.realestateview.com.au/real-estate/398-esplanade-esplanade-mount-martha-vic/property-details-sold-residential-10638778/"
"Mount Martha","16 Settlers Way","house",0,545000.0,"2016-11-14","private sale","McEwing Partners","http://www.realestateview.com.au/real-estate/16-settlers-way-mount-martha-vic/property-details-sold-residential-10602778/"
"Mount Martha","48 Watson Rd","house",4,1050500.0,"2016-11-14","private sale","Abode Mt Martha","http://www.realestateview.com.au/real-estate/48-watson-road-mount-martha-vic/property-details-sold-residential-10589560/"
"Mount Martha","6 Norman Rd","house",5,900000.0,"2016-11-10","private sale","Bon Accorde Property Services","http://www.realestateview.com.au/real-estate/6-norman-road-mount-martha-vic/property-details-buy-residential-10587348/"
"Mount Martha","105 Bruce Rd","house",2,615000.0,"2016-11-01","private sale","Nicholas Lynch Pty Ltd","http://www.realestateview.com.au/real-estate/105-bruce-road-mount-martha-vic/property-details-sold-residential-10575526/"
"Mount Martha","25 Marguerita Av","house",4,"","2016-11-20","auction sale","Harcourts Mornington",""
"Mount Martha","19 Clarkes Av","house",3,"","2016-11-14","private sale","Abode Mt Martha","http://www.realestateview.com.au/real-estate/19-clarkes-ave-mount-martha-vic/property-details-sold-residential-10631651/"
"Mount Pleasant","1/ 809 Bond St","house",2,217500.0,"2016-11-09","private sale","Ballarat Real Estate Pty Ltd",""
"Mount Waverley","21 Albert St","house",3,1619000.0,"2016-11-19","auction sale","Barry Plant","http://www.realestateview.com.au/real-estate/21-albert-street-mount-waverley-vic/property-details-buy-residential-10580245/"
"Mount Waverley","10 Amber Gr","house",5,2782000.0,"2016-11-19","auction sale","Biggin & Scott",""
"Mount Waverley","3 Lemana Cr","house",4,1333000.0,"2016-11-19","auction sale","McGrath Waverley","http://www.realestateview.com.au/real-estate/3-lemana-crescent-mount-waverley-vic/property-details-buy-residential-10605074/"
"Mount Waverley","1/ 12 Mt Pleasant Dr","unit",3,825000.0,"2016-11-19","auction sale","Harcourts Mt Waverley",""
"Mount Waverley","20 Wills Av","house",4,1110000.0,"2016-11-19","auction sale","Barry Plant","http://www.realestateview.com.au/real-estate/20-wills-avenue-mount-waverley-vic/property-details-buy-residential-10583392/"
"Mount Waverley","1/ 31 Windsor Av","unit",3,855100.0,"2016-11-19","auction sale","Fletchers","http://www.realestateview.com.au/real-estate/1-31-windsor-avenue-mount-waverley-vic/property-details-sold-residential-10607870/"
"Mount Waverley","49 Barlyn Rd","house",4,"","2016-11-19","passed in at auction","Jellis Craig","http://www.realestateview.com.au/real-estate/49-barlyn-road-mount-waverley-vic/property-details-buy-residential-10586167/"
"Mount Waverley","23 Lewton Rd","house",5,"","2016-11-19","passed in at auction","Stockdale & Leggo Waverley","http://www.realestateview.com.au/real-estate/23-lewton-road-mount-waverley-vic/property-details-buy-residential-10588902/"
"Mulgrave","4 Clifton Ct","house",3,905000.0,"2016-11-19","auction sale","Ray White Glen Waverley","http://www.realestateview.com.au/real-estate/4-clifton-court-mulgrave-vic/property-details-buy-residential-10589304/"
"Mulgrave","6 Jolimont Av","house",6,860000.0,"2016-11-19","passed in at auction","Boutique Estate Agency","http://www.realestateview.com.au/real-estate/6-jolimont-avenue-mulgrave-vic/property-details-buy-residential-10540129/"
"Mulgrave","17 Lords Av","house",4,1201000.0,"2016-11-19","auction sale","Win Real Estate AUS",""
"Mulgrave","18 Manna Ct","house",4,1095000.0,"2016-11-19","auction sale","Barry Plant","http://www.realestateview.com.au/real-estate/18-manna-court-mulgrave-vic/property-details-buy-residential-10587381/"
"Mulgrave","455 Police Rd","land",0,600000.0,"2016-11-19","auction sale","Barry Plant","http://www.realestateview.com.au/real-estate/455-police-road-mulgrave-vic/property-details-buy-residential-10583575/"
"Mulgrave","14 Rathdowne Way","house",4,1010000.0,"2016-11-19","auction sale","Ray White Glen Waverley","http://www.realestateview.com.au/real-estate/14-rathdowne-way-mulgrave-vic/property-details-buy-residential-10591866/"
"Mulgrave","72 Stadium Cirt","house",4,992000.0,"2016-11-19","auction sale","Ray White Glen Waverley","http://www.realestateview.com.au/real-estate/72-stadium-circuit-mulgrave-vic/property-details-buy-residential-10607715/"
"Mulgrave","90 Wanda St","house",3,850000.0,"2016-11-19","auction sale","Hall & Partners First National",""
"Mulgrave","390 Wellington Rd","house",3,907000.0,"2016-11-19","auction sale","Ray White Mount Waverley",""
"Mulgrave","4 Woolwich Dr","house",3,805000.0,"2016-11-19","auction sale","Ray White Glen Waverley","http://www.realestateview.com.au/real-estate/4-woolwich-drive-mulgrave-vic/property-details-buy-residential-10601243/"
"Mulgrave","5 Sir Kenneth Luke Blvd","house",4,925000.0,"2016-11-06","private sale","Fletchers","http://www.realestateview.com.au/real-estate/5-sir-kenneth-luke-boulevard-mulgrave-vic/property-details-sold-residential-10483297/"
"Mulgrave","11 Burley Ct","house",3,835000.0,"2016-11-03","sold before auction","Harcourts Mt Waverley",""
"Mulgrave","10 Mayfair Cl","house",5,"","2016-11-19","passed in at auction","Ray White Glen Waverley","http://www.realestateview.com.au/real-estate/10-mayfair-close-mulgrave-vic/property-details-buy-residential-10594003/"
